repository_name,state,triage_state,created_at,expiration_date,severity,remediation_window,rule_name
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,html.security.audit.missing-integrity.missing-integrity
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,html.security.audit.missing-integrity.missing-integrity
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,html.security.audit.missing-integrity.missing-integrity
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,html.security.plaintext-http-link.plaintext-http-link
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace
